comic_id, title, image_url
447,Oretama,https://cdn.myanimelist.net/images/manga/2/53187.jpg
465,NOiSE,https://cdn.myanimelist.net/images/manga/1/177551.jpg
475,Peach Girl,https://cdn.myanimelist.net/images/manga/1/181872.jpg
564,Gantz,https://cdn.myanimelist.net/images/manga/4/157936.jpg
582,Kodomo no Jikan,https://cdn.myanimelist.net/images/manga/1/62557.jpg
584,Mirai Nikki,https://cdn.myanimelist.net/images/manga/5/16174.jpg
591,Koukou Debut,https://cdn.myanimelist.net/images/manga/5/112439.jpg
595,Id,https://cdn.myanimelist.net/images/manga/1/59063.jpg
598,Fairy Tail,https://cdn.myanimelist.net/images/manga/3/198604.jpg
606,Boku ni Natta Watashi,https://cdn.myanimelist.net/images/manga/1/20745.jpg
608,Gokujou no Koibito,https://cdn.myanimelist.net/images/manga/3/27150.jpg
610,Skip Beat!,https://cdn.myanimelist.net/images/manga/2/26110.jpg
614,Blue Dragon: RalΩGrado,https://cdn.myanimelist.net/images/manga/2/56223.jpg
616,Mx0,https://cdn.myanimelist.net/images/manga/2/55903.jpg
618,Vampire Knight,https://cdn.myanimelist.net/images/manga/1/167748.jpg
619,Uwasa no Midori-kun!!,https://cdn.myanimelist.net/images/manga/3/174196.jpg
625,Gakuyaura Ouji,https://cdn.myanimelist.net/images/manga/2/185823.jpg
628,Bijo ga Yajuu,https://cdn.myanimelist.net/images/manga/1/201071.jpg
633,Beauty Pop,https://cdn.myanimelist.net/images/manga/2/9226.jpg
635,God Child,https://cdn.myanimelist.net/images/manga/1/160521.jpg
642,Vinland Saga,https://cdn.myanimelist.net/images/manga/2/188925.jpg
645,H³ School,https://cdn.myanimelist.net/images/manga/1/172987.jpg
647,Hot Gimmick,https://cdn.myanimelist.net/images/manga/2/142813.jpg
648,Dogs: Bullets & Carnage,https://cdn.myanimelist.net/images/manga/2/232296.jpg
656,Vagabond,https://cdn.myanimelist.net/images/manga/2/181787.jpg
658,Blade of the Immortal,https://cdn.myanimelist.net/images/manga/1/157919.jpg
661,Sayonara Zetsubou Sensei,https://cdn.myanimelist.net/images/manga/3/156519.jpg
664,Akira,https://cdn.myanimelist.net/images/manga/2/157929.jpg
670,Bokurano,https://cdn.myanimelist.net/images/manga/1/57107.jpg
674,Majin Tantei Nougami Neuro,https://cdn.myanimelist.net/images/manga/1/186638.jpg
677,Akuma na Eros,https://cdn.myanimelist.net/images/manga/1/78909.jpg
678,Kaikan♥Phrase,https://cdn.myanimelist.net/images/manga/2/81.jpg
683,DNA²: Dokoka de Nakushita Aitsu no Aitsu,https://cdn.myanimelist.net/images/manga/1/177761.jpg
684,Haou♥Airen,https://cdn.myanimelist.net/images/manga/1/92347.jpg
686,Atashi wa Bambi,https://cdn.myanimelist.net/images/manga/2/175967.jpg
689,Fairy Cube,https://cdn.myanimelist.net/images/manga/2/197597.jpg
697,Magic Knight Rayearth 2,https://cdn.myanimelist.net/images/manga/5/157705.jpg
703,Trigun,https://cdn.myanimelist.net/images/manga/3/153055.jpg
705,Shingetsutan Tsukihime,https://cdn.myanimelist.net/images/manga/1/147479.jpg
735,Black Lagoon,https://cdn.myanimelist.net/images/manga/1/227037.jpg
738,Otaku no Musume-san,https://cdn.myanimelist.net/images/manga/3/50389.jpg
745,Pluto,https://cdn.myanimelist.net/images/manga/2/56177.jpg
747,Blood+,https://cdn.myanimelist.net/images/manga/1/54703.jpg
755,Video Girl Ai,https://cdn.myanimelist.net/images/manga/2/185816.jpg
763,Lilim Kiss,https://cdn.myanimelist.net/images/manga/2/53199.jpg
765,Junjou Romantica,https://cdn.myanimelist.net/images/manga/5/206960.jpg
770,Gunnm: Last Order,https://cdn.myanimelist.net/images/manga/2/145645.jpg
771,Crimson Spell,https://cdn.myanimelist.net/images/manga/3/171499.jpg
775,Haru wo Daiteita,https://cdn.myanimelist.net/images/manga/3/195851.jpg
801,CUT,https://cdn.myanimelist.net/images/manga/1/31098.jpg
813,Kimi ga Koi ni Ochiru,https://cdn.myanimelist.net/images/manga/1/209.jpg
843,Curry naru Shokutaku,https://cdn.myanimelist.net/images/manga/4/3374.jpg
878,Otomen,https://cdn.myanimelist.net/images/manga/2/6303.jpg
885,Hakushaku Cain Series,https://cdn.myanimelist.net/images/manga/3/160529.jpg
888,Tsuki no Shippo,https://cdn.myanimelist.net/images/manga/3/160615.jpg
892,Sono Yubi dake ga Shitteiru,https://cdn.myanimelist.net/images/manga/5/1875.jpg
893,Mahou Tsukai Kurohime,https://cdn.myanimelist.net/images/manga/2/143957.jpg
895,Full Metal Panic! Sigma,https://cdn.myanimelist.net/images/manga/1/55583.jpg
900,Akane-chan Overdrive,https://cdn.myanimelist.net/images/manga/1/58513.jpg
908,Soul Eater,https://cdn.myanimelist.net/images/manga/1/159808.jpg
929,Fushigi Yuugi: Genbu Kaiden,https://cdn.myanimelist.net/images/manga/3/32088.jpg
932,Koroshiya 1,https://cdn.myanimelist.net/images/manga/3/174206.jpg
933,Elfen Lied,https://cdn.myanimelist.net/images/manga/2/313.jpg
958,Goth,https://cdn.myanimelist.net/images/manga/1/173681.jpg
966,Me~teru no Kimochi,https://cdn.myanimelist.net/images/manga/2/204761.jpg
974,Basara,https://cdn.myanimelist.net/images/manga/1/185359.jpg
982,Kurokami,https://cdn.myanimelist.net/images/manga/1/196144.jpg
988,Shijou Saikyou no Deshi Kenichi,https://cdn.myanimelist.net/images/manga/2/169883.jpg
989,Empty Heart: Itsuwari no Koi Dakara,https://cdn.myanimelist.net/images/manga/4/220605.jpg
1017,Bond(z),https://cdn.myanimelist.net/images/manga/1/6150.jpg
1023,Koukaku Kidoutai: The Ghost in the Shell,https://cdn.myanimelist.net/images/manga/2/155733.jpg
1032,Doraemon,https://cdn.myanimelist.net/images/manga/2/41460.jpg
1061,Detective Conan,https://cdn.myanimelist.net/images/manga/1/97267.jpg
1079,Goong,https://cdn.myanimelist.net/images/manga/1/23572.jpg
1101,Akumetsu,https://cdn.myanimelist.net/images/manga/2/183734.jpg
1110,Shiawase Kissa 3-choume,https://cdn.myanimelist.net/images/manga/2/749.jpg
1113,I.O.N,https://cdn.myanimelist.net/images/manga/2/17076.jpg
1121,Unbalance x2,https://cdn.myanimelist.net/images/manga/1/159439.jpg
1131,Freesia,https://cdn.myanimelist.net/images/manga/2/16481.jpg
1133,Dorohedoro,https://cdn.myanimelist.net/images/manga/2/143111.jpg
1147,Boku no Futatsu no Tsubasa,https://cdn.myanimelist.net/images/manga/3/826.jpg
1149,Hokuto no Ken,https://cdn.myanimelist.net/images/manga/3/830.jpg
1158,"Densha Otoko: Net Hatsu, Kakueki Teisha no Love Story",https://cdn.myanimelist.net/images/manga/1/48231.jpg
1162,Bitter Virgin,https://cdn.myanimelist.net/images/manga/2/55379.jpg
1191,Wanted,https://cdn.myanimelist.net/images/manga/2/165150.jpg
1194,Ai-Ren,https://cdn.myanimelist.net/images/manga/3/54109.jpg
1200,Dash!,https://cdn.myanimelist.net/images/manga/1/5904.jpg
1202,Manga Mitai na Koi Shitai!,https://cdn.myanimelist.net/images/manga/3/9924.jpg
1217,Cross Over,https://cdn.myanimelist.net/images/manga/3/56635.jpg
1224,3-gatsu no Lion,https://cdn.myanimelist.net/images/manga/1/52281.jpg
1242,Good Morning Call,https://cdn.myanimelist.net/images/manga/3/185191.jpg
1250,Deep Love: Ayu no Monogatari,https://cdn.myanimelist.net/images/manga/2/1007.jpg
1257,Higurashi no Naku Koro ni: Onikakushi-hen,https://cdn.myanimelist.net/images/manga/2/1013.jpg
1260,Higurashi no Naku Koro ni: Tatarigoroshi-hen,https://cdn.myanimelist.net/images/manga/3/1016.jpg
1262,Higurashi no Naku Koro ni Kai: Meakashi-hen,https://cdn.myanimelist.net/images/manga/2/1018.jpg
1265,Higurashi no Naku Koro ni: Yoigoshi-hen,https://cdn.myanimelist.net/images/manga/2/1021.jpg
1268,The Bride of the Water God,https://cdn.myanimelist.net/images/manga/2/15078.jpg
1271,Special A,https://cdn.myanimelist.net/images/manga/3/137871.jpg
1274,RustBlaster,https://cdn.myanimelist.net/images/manga/3/20385.jpg
1282,Itoshi no Kana,https://cdn.myanimelist.net/images/manga/3/1087.jpg
1291,Love Celeb,https://cdn.myanimelist.net/images/manga/3/59521.jpg
1303,Ashita no Joe,https://cdn.myanimelist.net/images/manga/4/75029.jpg
1340,Bukiyou na Silent,https://cdn.myanimelist.net/images/manga/3/183404.jpg
1341,Charisma Doll,https://cdn.myanimelist.net/images/manga/2/10333.jpg
1349,07-Ghost,https://cdn.myanimelist.net/images/manga/2/21417.jpg
1363,Aoi Hana,https://cdn.myanimelist.net/images/manga/1/182493.jpg
1376,Dogs: Stray Dogs Howling in the Dark,https://cdn.myanimelist.net/images/manga/1/57015.jpg
1383,Glamorous Lip,https://cdn.myanimelist.net/images/manga/2/21362.jpg
1398,Saruyama!,https://cdn.myanimelist.net/images/manga/2/171479.jpg
1400,Abara,https://cdn.myanimelist.net/images/manga/3/171728.jpg
1402,100% Perfect Girl,https://cdn.myanimelist.net/images/manga/5/30107.jpg
1409,Biomega,https://cdn.myanimelist.net/images/manga/2/211783.jpg
1412,Bloody Kiss,https://cdn.myanimelist.net/images/manga/2/11112.jpg
1414,SKET Dance,https://cdn.myanimelist.net/images/manga/1/173959.jpg
1444,Kimi wa Girlfriend,https://cdn.myanimelist.net/images/manga/2/179812.jpg
1456,Shi ga Futari wo Wakatsu made,https://cdn.myanimelist.net/images/manga/3/167767.jpg
1471,Aruku Hito,https://cdn.myanimelist.net/images/manga/1/168496.jpg
1474,Devilman,https://cdn.myanimelist.net/images/manga/2/1431.jpg
1479,Blue Heaven,https://cdn.myanimelist.net/images/manga/3/26457.jpg
